actual number,success percentage
0,0.963265306122449
1,0.9674008810572687
2,0.8691860465116279
3,0.8366336633663366
4,0.905295315682281
5,0.8419282511210763
6,0.9478079331941545
7,0.8793774319066148
8,0.7135523613963038
9,0.8543111992071358
average success percentage is 87.78758389565249%
