cislo,procento uspesnosti odhadu
0,95.82
1,96.48
2,86.53
3,84.16
4,90.73
5,82.96
6,94.68
7,88.42
8,74.23
9,84.74
prumerne procento uspesnosti je 87.87500000000001%
